City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,brandfort,-28.7001,26.4597,89.01,13,4,3.6,ZA,2023-10-04 10:38:58
288,mizdah,31.4451,12.9801,74.19,46,0,6.22,LY,2023-10-04 10:38:58
289,baryshivka,50.361,31.3217,67.01,53,95,12.62,UA,2023-10-04 10:38:58
290,san julian,21.0167,-102.1667,55.63,94,97,0.83,MX,2023-10-04 10:38:58
291,kone,-21.0595,164.8658,70.23,75,50,8.5,NC,2023-10-04 10:38:59
292,katsuura,35.1333,140.3,66.22,88,100,1.45,JP,2023-10-04 10:38:59
293,m'sila,35.7058,4.5419,81.84,35,0,4.61,DZ,2023-10-04 10:38:59
294,yanam,16.7333,82.2167,90.23,56,93,8.25,IN,2023-10-04 10:38:59
295,coahuayana de hidalgo,18.7,-103.6583,77.5,90,97,3.65,MX,2023-10-04 10:38:59
296,pisco,-13.7,-76.2167,62.65,94,100,3.44,PE,2023-10-04 10:39:00
297,hasaki,35.7333,140.8333,68.29,80,100,10.98,JP,2023-10-04 10:39:00
298,nyandoma,61.669,40.1991,54.68,94,100,14.23,RU,2023-10-04 10:39:00
299,hastings,50.8552,0.5729,62.98,28,100,16.46,GB,2023-10-04 10:39:00
300,tarimoro,20.2833,-100.75,59.79,97,96,1.34,MX,2023-10-04 10:39:01
301,ryotsu-minato,38.0833,138.4333,68.79,71,94,6.4,JP,2023-10-04 10:39:01
302,veinticinco de mayo,-35.4323,-60.1727,48.97,90,71,7.0,AR,2023-10-04 10:39:01
303,yanykurgan,43.915,67.2481,76.96,16,0,1.7,KZ,2023-10-04 10:39:01
304,mount isa,-20.7333,139.5,76.77,22,62,12.66,AU,2023-10-04 10:39:02
305,cova figueira,14.8905,-24.2934,77.09,71,85,2.93,CV,2023-10-04 10:39:02
306,canutama,-6.5339,-64.3831,80.56,60,96,2.37,BR,2023-10-04 10:39:02
307,trevelin,-43.0858,-71.4639,33.28,86,32,3.31,AR,2023-10-04 10:39:02
308,veraval,20.9,70.3667,83.82,61,2,10.63,IN,2023-10-04 10:39:03
309,leer,53.2316,7.461,63.95,80,48,16.04,DE,2023-10-04 10:39:03
310,prince rupert,54.3161,-130.3201,51.49,92,75,5.75,CA,2023-10-04 10:38:51
311,keflavik,64.0049,-22.5624,45.03,81,75,8.05,IS,2023-10-04 10:39:03
312,sittwe,20.15,92.9,81.36,86,13,7.45,MM,2023-10-04 10:39:03
313,malanje,-9.5402,16.341,93.02,27,21,4.29,AO,2023-10-04 10:39:04
314,det udom,14.906,105.0784,84.02,85,94,6.13,TH,2023-10-04 10:37:27
315,tolanaro,-25.0319,46.9987,80.67,54,0,24.16,MG,2023-10-04 10:39:04
316,north side,19.35,-81.2,84.99,86,32,4.92,KY,2023-10-04 10:39:04
317,newport,51.5877,-2.9984,61.68,79,100,18.72,GB,2023-10-04 10:39:05
318,toliara,-23.35,43.6667,82.83,49,0,13.85,MG,2023-10-04 10:39:05
319,tegueste,28.5167,-16.3167,88.95,16,0,8.05,ES,2023-10-04 10:39:05
320,north bend,43.4065,-124.2243,54.91,94,40,5.75,US,2023-10-04 10:39:05
321,kharkhorin,47.1975,102.8238,46.17,40,4,2.82,MN,2023-10-04 10:39:06
322,pokrovka,42.3414,78.0056,57.2,49,77,2.95,KG,2023-10-04 10:39:06
323,maracaju,-21.6144,-55.1683,86.74,43,10,14.41,BR,2023-10-04 10:38:27
324,floro,61.5996,5.0328,51.76,82,75,12.66,NO,2023-10-04 10:39:06
325,atherton,53.5237,-2.4935,61.9,81,94,5.01,GB,2023-10-04 10:39:06
326,fort st. john,56.2499,-120.8529,44.49,70,75,11.5,CA,2023-10-04 10:37:01
327,mugia,43.1041,-9.2179,73.9,74,14,3.4,ES,2023-10-04 10:39:07
328,horodnya,51.8909,31.5974,63.41,65,100,12.73,UA,2023-10-04 10:39:07
329,oshawa,43.9001,-78.8496,61.7,100,0,3.44,CA,2023-10-04 10:37:52
330,burbach,50.75,8.0833,59.43,77,40,9.22,DE,2023-10-04 10:39:07
331,kill devil hills,36.0307,-75.676,70.99,81,0,5.75,US,2023-10-04 10:38:01
332,aljezur,37.3191,-8.8033,80.49,45,96,2.71,PT,2023-10-04 10:39:08
333,porto murtinho,-21.6989,-57.8825,88.54,34,7,8.41,BR,2023-10-04 10:39:08
334,carauari,-4.8828,-66.8958,76.71,58,100,2.53,BR,2023-10-04 10:39:08
335,konarka,19.9,86.1167,86.4,82,99,11.03,IN,2023-10-04 10:39:08
336,mariental,-24.6333,17.9667,96.19,15,31,7.16,NA,2023-10-04 10:39:09
337,newnham,-41.3833,147.1333,48.85,87,100,11.5,AU,2023-10-04 10:39:09
338,saldanha,-33.0117,17.9442,71.65,49,100,10.36,ZA,2023-10-04 10:39:09
339,tagkawayan sabang,13.9911,122.5289,77.67,84,100,8.23,PH,2023-10-04 10:39:09
340,nguigmi,14.2495,13.1092,91.96,31,97,15.12,NE,2023-10-04 10:39:09
341,villa bruzual,9.3328,-69.1208,74.82,91,97,1.1,VE,2023-10-04 10:39:10
342,nurota,40.5614,65.6886,80.26,16,37,10.69,UZ,2023-10-04 10:39:10
343,izazi,-7.2,35.7333,85.37,37,99,12.3,TZ,2023-10-04 10:39:10
344,salto,-31.3833,-57.9667,55.87,92,43,15.99,UY,2023-10-04 10:34:31
345,new norfolk,-42.7826,147.0587,49.71,98,100,2.95,AU,2023-10-04 10:39:10
346,poyarkovo,49.6,128.6833,40.01,95,100,18.54,RU,2023-10-04 10:39:11
347,saladan,7.6134,99.0365,81.48,80,100,13.27,TH,2023-10-04 10:39:11
348,forster,-32.1667,152.5167,72.28,77,68,15.43,AU,2023-10-04 10:39:11
349,beipiao,41.7919,120.7792,54.55,19,0,17.09,CN,2023-10-04 10:39:11
350,lethem,3.3803,-59.7968,81.63,65,45,11.81,GY,2023-10-04 10:39:12
351,cogealac,44.55,28.5667,77.05,29,0,8.57,RO,2023-10-04 10:39:12
352,monteagudo,-19.8167,-63.9833,70.21,54,76,9.48,BO,2023-10-04 10:39:12
353,cidade velha,14.9167,-23.6167,86.47,62,0,2.3,CV,2023-10-04 10:39:12
354,yichang,30.7144,111.2847,66.67,88,100,2.44,CN,2023-10-04 10:39:12
355,gorodoviki,46.1353,41.9656,72.14,29,0,8.43,RU,2023-10-04 10:39:13
356,yanggu,36.1106,115.7753,69.3,42,98,5.99,CN,2023-10-04 10:39:13
357,palikir - national government center,6.9248,158.1611,79.54,94,100,2.3,FM,2023-10-04 10:39:13
358,waingapu,-9.6567,120.2641,80.62,73,2,3.27,ID,2023-10-04 10:39:13
359,margate,51.3813,1.3862,61.9,69,100,5.01,GB,2023-10-04 10:39:14
360,tres arroyos,-38.3739,-60.2798,47.48,92,100,12.03,AR,2023-10-04 10:39:14
361,el bayadh,33.6832,1.0193,74.44,34,0,4.47,DZ,2023-10-04 10:39:14
362,skovorodino,53.9833,123.9167,32.34,62,3,1.81,RU,2023-10-04 10:39:14
363,bathsheba,13.2167,-59.5167,83.01,83,40,10.36,BB,2023-10-04 10:39:14
364,taoudenni,22.6783,-3.9836,98.98,14,30,13.33,ML,2023-10-04 10:39:15
365,perevoz,55.5961,44.5446,64.85,51,86,19.48,RU,2023-10-04 10:39:15
366,tanout,14.9709,8.8879,92.61,26,69,13.76,NE,2023-10-04 10:39:15
367,akureyri,65.6835,-18.0878,42.73,75,75,3.44,IS,2023-10-04 10:39:15
368,malpica,43.3228,-8.8105,78.37,71,23,4.99,ES,2023-10-04 10:39:16
369,kerikeri,-35.2268,173.9474,46.9,88,0,3.91,NZ,2023-10-04 10:39:16
370,birao,10.2849,22.7882,92.1,47,100,2.57,CF,2023-10-04 10:39:16
371,chernyshevskiy,63.0128,112.4714,33.62,78,90,13.8,RU,2023-10-04 10:39:16
372,atafu village,-8.5421,-172.5159,83.52,78,97,13.82,TK,2023-10-04 10:39:16
373,nyala,12.05,24.8833,93.74,33,36,1.74,SD,2023-10-04 10:39:17
374,conceicao do araguaia,-8.2578,-49.2647,89.89,34,51,9.13,BR,2023-10-04 10:39:17
375,hameenlinna,60.996,24.4643,53.22,77,97,7.11,FI,2023-10-04 10:39:17
376,cloquet,46.7216,-92.4594,65.79,86,100,14.97,US,2023-10-04 10:39:17
377,kailua-kona,19.6406,-155.9956,76.96,74,0,5.99,US,2023-10-04 10:39:17
378,pierre,44.3683,-100.351,54.52,85,100,17.27,US,2023-10-04 10:37:23
379,kafue,-15.7691,28.1814,90.64,17,11,9.82,ZM,2023-10-04 10:39:18
380,mchinji,-13.7984,32.8802,87.53,21,1,9.13,MW,2023-10-04 10:39:18
381,nagqu,31.5,92.0,52.39,47,100,12.19,CN,2023-10-04 10:39:18
382,porto novo,6.4965,2.6036,84.54,66,96,3.02,BJ,2023-10-04 10:39:04
383,los llanos de aridane,28.6585,-17.9182,80.35,48,0,13.8,ES,2023-10-04 10:39:19
384,usogorsk,63.4106,48.6872,49.66,89,100,6.53,RU,2023-10-04 10:39:19
385,feldkirchen-westerham,47.9075,11.8427,62.6,60,93,2.39,DE,2023-10-04 10:39:19
386,tarawa,1.419,172.984,82.49,89,75,1.14,KI,2023-10-04 10:39:19
387,stellenbosch,-33.9346,18.8668,72.82,62,99,6.31,ZA,2023-10-04 10:35:04
388,pachino,36.7186,15.0907,75.11,59,9,5.73,IT,2023-10-04 10:39:20
389,colchani,-20.3,-66.9333,39.7,35,38,6.33,BO,2023-10-04 10:39:20
390,puerto el triunfo,13.2833,-88.55,76.69,89,100,4.65,SV,2023-10-04 10:39:20
391,idri,27.5,13.2667,83.7,27,0,11.01,LY,2023-10-04 10:39:20
392,saudarkrokur,65.7461,-19.6394,41.23,77,100,3.29,IS,2023-10-04 10:39:20
393,vigan,17.5747,120.3869,83.93,69,100,4.16,PH,2023-10-04 10:39:21
394,lakatoro,-16.0999,167.4164,76.66,80,67,19.1,VU,2023-10-04 10:39:21
395,pangai,-19.8,-174.35,72.64,80,99,25.01,TO,2023-10-04 10:37:19
396,suva,-18.1416,178.4415,72.88,83,75,6.91,FJ,2023-10-04 10:36:57
397,chicoana,-25.1009,-65.5331,56.05,61,91,2.39,AR,2023-10-04 10:39:21
